Year,Status,Adult_Mortality,Alcohol,percentage_expenditure,BMI,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,Income_composition_of_resources,Schooling,Life_expectancy
2006,Developing,191,0.06,72.0159316,19.7,2.91,72,0.1,1586.254,22983822,0.632,10.9,67.3
2002,Developing,587,5.52,131.0421269,26.7,5.16,85,49.9,1324.996228,1893,0.502,9.2,46.4
2011,Developing,29,0.22,42.2547904,21.2,4.73,63,2,459.2912,113517,0.385,8.4,58.1
2000,Developing,219,4.73,11.69704463,17.8,3.21,78,0.1,138.91977,77991569,0.618,11.4,66.8
2015,Developing,74,4.6,364.9752287,58,6,99,0.1,3954.22783,28873,0.762,14.2,77.8
2010,Developing,132,7.24,194.1732658,52,1.5,92,0.1,2964.47734,3926,0.738,13.3,73.8
2008,Developing,172,2.1,17.81424344,18.5,3.44,98,0.1,254.489192,19817,0.731,13.3,72.3
2011,Developing,24,8.48,415.1627705,59,6.98,5,0.2,3569.75727,45761,0.734,14.9,75
2008,Developing,65,2.47,471.5533294,62.1,7.33,94,0.1,29657.4421,7388,0.877,15.8,81
2007,Developing,559,1.18,4.269511381,16.6,9.31,87,19.3,32.2227274,1384969,0.387,9.7,48.5
2007,Developed,63,11.56,1958.525877,56.3,6.5,97,0.1,31386.63265,163712,0.836,13.5,78.9
2014,Developing,271,0.01,73.52358168,18.6,8.18,62,0.1,612.696514,327582,0.476,10,59.9
2011,Developing,114,1.53,1275.877569,62.8,5.29,97,0.1,11341.13395,7349455,0.737,13.8,74.5
2000,Developing,192,3.61,15.25518816,42.8,5.39,83,0.4,116.2743,526796,0.562,10.1,73
2005,Developing,137,0.47,9.469371264,49.1,5.6,98,0.1,213.755559,35217,0.569,9.8,77
2005,Developed,11,13.33,2813.985285,54.1,9.98,93,0.1,18784.9485,15333,0.79,15.4,77.7
2012,Developing,97,3.34,2568.237059,57.5,9.56,91,0.1,9985.36959,4654122,0.758,13.6,79.2
2011,Developing,13,1.29,623.2120325,57.4,7.15,98,0.1,4256.91279,1761467,0.714,14.5,74.8
2013,Developing,393,0.01,708.9556648,31.2,9.66,98,9.8,3598.75972,1271456,0.539,11.4,57.6
2002,Developing,142,2.72,60.55818291,47,8.72,84,0.1,779.3845935,4357,0.677,11.8,71.7
2012,Developing,92,4.61,693.8226461,54.2,9.94,92,0.1,4716.673325,36482,0.728,13.9,76.8
2009,Developing,254,0.91,71.16601203,17.6,4.7,77,0.5,415.6893226,2569121,0.5,9.7,62.8
2011,Developing,266,3.72,60.44658161,25,11.23,77,1.5,379.689583,47167,0.406,9.5,62
2007,Developing,395,5.44,7.562892922,24.4,4.76,82,7,111.71186,18395389,0.456,8,53.6
2008,Developing,189,0.07,10.26341108,21.3,2.81,77,0.2,216.52766,236159276,0.641,11.7,67.7
2006,Developing,123,0.97,122.6523334,48.5,3.78,8,0.1,1762.24617,18914977,0.636,11.4,73.7
2005,Developing,16,3.63,287.4671305,69.7,4.47,49,0.1,2571.262348,179929,0.671,12.6,71.6
2014,Developing,285,0.01,4.877350139,23.7,5.25,87,1,62.1318489,7228915,0.475,12,59.7
2011,Developing,158,3.03,918.807245,31.3,5.2,98,0.1,9197.26972,125244,0.748,14.1,73.6
2014,Developed,58,0.01,1491.703605,61.6,1.9,96,0.1,52157.4687,168658,0.923,18.1,81.7
2003,Developed,174,8.78,375.1740323,52.9,5.3,97,0.1,2774.95586,21574326,0.722,12.5,71.1
2007,Developing,227,0.14,146.7606488,53.8,3.69,57,0.1,3129.224922,2839433,0.636,10.2,65.9
2013,Developing,23,0.87,79.50882493,19.5,4.15,74,0.4,461.723722,22961146,0.508,10.3,64.7
2001,Developing,165,4.43,404.4205858,47.5,5.96,8,0.1,2395.856551,498899,0.653,11.4,71.5
2005,Developing,34,1.07,5.064688968,13.9,2.97,96,1.6,276.75896,39697,0,5.4,59.4
2011,Developing,121,6.9,119.2124275,54.9,7.5,87,0.1,927.723171,377782,0.758,12.9,77.3
2002,Developing,129,0.54,259.1572375,55.5,9.68,95,0.1,1812.288374,5287488,0.712,13,72.1
2014,Developing,237,0.01,715.2816939,35.8,3.44,7,2.8,9692.163874,1875713,0.687,12.6,65.5
2014,Developed,66,12.32,8350.193523,57.1,11.21,98,0.1,51322.63997,8541575,0.892,15.9,81.4
2001,Developing,135,1.29,93.50075111,44.6,4.92,82,0.1,1258.421953,16766899,0.589,10.1,72.7
