Year,Status,Adult_Mortality,Alcohol,percentage_expenditure,BMI,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,Income_composition_of_resources,Schooling,Life_expectancy
2006,Developed,85,11.98,15345.4907,57.5,7.75,99,0.1,89739.7117,472637,0.88,13.5,79.4
2003,Developing,15,4.25,417.8038898,49,5.92,92,0.1,2246.257472,42152151,0.659,11.6,72.4
2009,Developing,4,1.18,39.75216936,2.1,5.43,74,11.3,463.852618,2352463,0.382,9.2,53.8
2012,Developing,288,0.01,4.344930862,21.7,5.39,62,1.9,52.3485646,11281469,0.396,8.5,58.4
2009,Developing,219,4.42,159.5348489,22.1,4.41,87,0.1,1825.341521,9222879,0.661,11.7,68
2011,Developing,27,0.33,21.23698847,2.5,1.87,84,0.5,1186.423937,555331,0.526,9.1,65.6
2011,Developed,72,11.5,17028.52798,59.6,7.34,99,0.1,115761.577,518347,0.894,13.9,88
2014,Developing,184,3.07,86.52153895,18.1,4.69,85,0.2,1573.11889,1293859294,0.607,11.6,68
2012,Developing,22,2.75,579.4128244,45.9,1.96,97,0.1,6675.262954,5267839,0.672,10.7,65.6
2014,Developing,278,0.01,208.2311603,47.9,4.26,73,0.7,2182.716565,7755785,0.511,10,62.7
2013,Developing,97,1.29,14.55610463,64.9,6.63,81,0.1,846.285153,527612,0.766,13.3,74.9
2007,Developed,82,11.75,267.051312,57.9,6.8,99,0.1,1618.4928,479993,0.877,13.5,79.7
2003,Developing,174,4.08,407.779262,26.9,4.15,99,0.1,4623.347642,121337,0.687,12.6,71.5
2014,Developing,73,7.53,2163.043414,66,8.8,99,0.1,21673.7817,1892413,0.862,17.2,88
2009,Developing,157,7.33,564.5233902,51.1,8.65,99,0.1,8553.3847,194895996,0.714,13.8,73.6
2008,Developing,41,9.79,72.85023656,15.6,9.1,71,8.2,449.6928183,31663896,0.453,10.6,56.3
2001,Developing,175,3.43,199.4118322,66.5,5.16,85,0.1,1555.47451,175566,0.645,12,75
2003,Developing,166,6.64,155.4233076,41.3,5.99,86,0.1,1174.779347,56795,0.642,12.7,71.7
2010,Developing,76,9,3189.754439,63.7,9.18,99,0.1,26917.75898,11121341,0.859,16.4,83
2004,Developing,666,1.8,67.91361818,26.9,6.96,9,34.6,781.5145936,1933728,0.439,10.7,44.8
2002,Developing,135,1.25,91.70356833,45.3,4.94,84,0.1,1263.13455,178791,0.596,10.2,72.8
2009,Developing,21,4.13,11.13608747,26.2,6.65,98,0.9,199.57146,17813,0.533,10.1,65.8
2013,Developed,68,11.02,15515.75234,6.5,7.1,99,0.1,113751.85,54336,0.892,13.9,81.4
2012,Developing,284,0.01,31.6357652,46.4,4.55,74,1,271.318741,743836,0.501,9.9,62.2
2008,Developing,168,0.06,36.69198927,14.7,0.74,79,0.1,643.71911,17811,0.566,11.7,66.2
2005,Developing,37,7.72,353.2438029,3.8,2.76,45,10.9,6741.293948,143126,0.64,12.4,65
2008,Developed,7,10.24,5596.535203,62.3,8.8,97,0.1,35578.73619,4595416,0.854,16.1,81.3
2013,Developing,182,0.01,24.73328608,48.9,5.42,94,0.1,188.5159,563513,0.509,9.5,68.8
2011,Developing,375,8.75,187.5733187,22.8,3.69,48,4.7,2527.9423,16287776,0.5,9.6,52.3
2012,Developing,174,6.7,1486.236406,44,5.78,92,0.4,19152.531,1341588,0.772,12.6,78
2002,Developing,11,13.78,3779.655273,55.8,1.22,97,0.1,24275.2426,6185267,0.851,15.5,79.2
2003,Developed,155,11.19,32.38616103,58.6,7.43,96,0.1,271.46824,7775327,0.729,12.9,72
2010,Developing,115,6.56,635.4849381,59.1,6.9,94,0.1,6682.281158,619428,0.787,15,75.3
2008,Developing,21,0.46,167.6201552,74.1,12.23,82,0.1,1413.3234,9844,0.572,11.6,65.1
2005,Developing,28,5.71,289.7418649,48.2,4.26,87,2,3681.5993,9237566,0.668,12.6,69.7
2003,Developing,217,4.44,0.901149288,19.2,3.25,84,0.1,11.553196,8331954,0.631,11.6,67.2
2011,Developed,59,6.91,3601.287457,68,9.6,96,0.1,22821.847,416268,0.826,14.8,87
2003,Developing,48,6.66,33.30286123,14.5,6.34,96,8.1,212.6619491,868346,0.359,7.6,52
2009,Developed,76,11.42,2052.393076,58.8,8.11,99,0.1,13198.6693,497783,0.888,13.5,83
2007,Developing,39,1.06,30.46451811,14.5,4.69,5,2.8,243.326822,8149,0.362,7.1,58.5
2010,Developing,462,1.08,9.728005297,17.6,1.5,93,13.7,458.8681744,1516795,0.43,10.2,52.9
2001,Developing,284,5.75,12.60883976,44.4,3.47,95,0.1,149.926751,14858335,0.685,12.3,64.4
2006,Developing,185,8.12,102.373909,3.7,3.73,99,0.1,1214.39987,846,0.728,13.1,72.2
2006,Developing,152,0.01,42.3304549,13,2.8,94,0.1,494.51466,1453684,0.506,8.4,68.2
2011,Developing,52,2.39,195.825251,3.2,11.79,96,10.5,1352.38433,264166,0.469,11,52.3
2012,Developing,174,0.01,177.2633961,34.8,4.8,98,0.1,12845.17363,8833,0.755,13.5,72.7
2014,Developing,96,0.43,198.7343495,57.5,5.91,99,0.1,3154.513484,3431882,0.64,12.1,74.1
2013,Developing,325,0.01,90.76144414,17.6,7.47,78,4,662.492293,37553726,0.478,10,67
2012,Developing,86,5.14,412.4433563,55.8,5.59,99,0.1,4247.61438,2941,0.752,14.2,76.9
2003,Developed,88,12.2,504.4308735,51.7,1.48,84,0.1,3212.9355,8121423,0.837,14.7,78.8
2000,Developing,177,4.6,336.3213326,25.3,3.78,88,0.1,3861.32414,1186873,0.667,12.1,71
2003,Developed,66,10.62,158.7087399,54.3,6.83,98,0.1,2293.4789,993563,0.815,13,78.5
2010,Developing,172,0.04,0.66751505,21.9,3.2,82,0.1,14.142268,1756182,0.521,7.5,65.1
2003,Developing,271,1.31,56.05686428,4.5,6.18,98,0.1,646.561295,2469286,0.609,10.5,64
2007,Developing,238,0.16,283.806236,18,5.88,95,0.3,1741.142552,686958,0,10.1,66.5
2008,Developing,159,3.14,231.9112915,45.1,8.4,93,0.6,1751.595857,7872658,0.597,11.1,73.2
2013,Developing,187,3.11,67.67230438,17.5,4.53,83,0.2,1452.195373,127856227,0.599,11.5,67.6
2003,Developing,151,3.69,18.26183281,45.8,6.46,87,0.3,244.46898,1328961,0.679,12.6,74.4
2012,Developing,25,8.44,453.7830847,59.6,7.47,76,0.2,3855.42128,455933,0.739,15.1,77
2008,Developing,278,12.04,161.7301654,56.6,6.22,98,0.3,11635.2637,14274235,0.769,13.9,67.5
2006,Developing,92,12.4,5689.991931,58,1.53,99,0.1,36544.5853,63621376,0.87,16.1,86
2009,Developed,184,9.85,1137.6237,58.5,6.84,94,0.1,12219.37379,2141669,0.821,16.4,72.6
2008,Developing,289,1.13,38.55783268,14.9,4.28,54,2.4,325.3825543,83184892,0.378,7.6,59.8
2004,Developing,296,0.49,57.11644801,17.5,6.28,69,2,439.3572924,1239196,0.333,5.5,52.8
2001,Developing,11,2.84,14.23064496,21.2,4.56,86,0.1,153.1824,127185,0.592,9.6,72.2
2009,Developing,165,0.09,36.199487,15.1,1.2,72,0.1,757.3114436,19221,0.599,12.1,66.6
2012,Developing,118,5.77,339.7190493,62.3,8.74,95,0.1,1592.6819,3396777,0.784,15.5,76.5
2009,Developing,393,5.01,426.7855662,34.7,6.39,96,9,5185.729845,1979882,0.661,12.2,59.2
2014,Developing,377,0.01,59.48744893,19.2,11.38,91,5.1,354.7253961,1768838,0.466,10.7,57.6
2012,Developing,194,0.01,8.198047581,28.5,8.6,96,0.5,138.949959,182889,0.553,10.8,66.9
2009,Developing,226,14.09,434.7985025,58.7,6.9,96,0.1,5176.172649,956765,0.771,15.4,70
2011,Developed,63,9.62,4873.8188,64.1,9.48,97,0.1,31834.21816,46742697,0.867,16.9,82.1
2004,Developing,342,0.64,10.26097341,13.6,3.14,98,1.8,287.4222243,3858623,0,5,59.1
2012,Developing,143,4.44,1487.896562,55.7,6.93,91,0.1,7884.984429,46881475,0.707,13.2,74.3
2005,Developed,67,10.3,579.1331637,61.5,8.45,92,0.1,3416.71483,23948,0.91,20.3,81
2014,Developed,76,12.6,7163.348923,63.4,1.59,99,0.1,47439.39684,112957,0.89,16.3,89
2003,Developing,135,1.42,459.1113061,55.9,5.34,68,0.1,4718.51291,668583,0.668,11.9,71.6
2006,Developing,2,0.99,240.4851202,43,6.66,99,0.1,948.6592511,481422,0.47,8.4,67.6
2004,Developed,66,8.98,4270.914882,57.6,8.49,94,0.1,31174.56118,57685327,0.846,15.6,89
2009,Developing,196,5.13,885.0739766,54.1,6.14,87,0.6,7443.85178,52619,0.696,12.1,70
2007,Developing,16,3.16,222.4823338,44.3,7.89,94,0.7,1592.572182,777972,0.59,10.9,73
2009,Developing,118,1.4,106.9482898,61.1,6.8,96,0.1,936.499911,71339185,0.709,12.5,73.9
2012,Developing,24,0.01,147.4549755,76.2,1.37,94,0.1,1763.815497,16613,0.581,11.9,65.7
2010,Developed,16,12.1,206.8868182,6.6,8.25,97,0.1,1355.74586,4417781,0.803,14.2,76.6
2012,Developing,189,2.02,484.7187892,48.6,6.33,96,0.4,3299.65139,1527156,0.616,10.6,71.3
2011,Developed,139,9.1,10.32588862,57.7,5.53,89,0.1,92.277825,2147528,0.798,15.7,74.3
2012,Developing,147,0.01,429.6625083,57.2,5.26,69,0.1,6651.12242,32776571,0.656,10.5,76
2008,Developing,194,2.68,53.95949877,51.4,6.21,98,0.3,357.347674,61131,0.659,13.4,71.7
2007,Developing,159,5.61,318.6201852,44.2,6.41,95,0.1,2312.192926,5966159,0.649,12,72.5
2004,Developing,214,0.48,10.6242741,71.4,1.39,62,0.1,113.6286,9542,0,12.4,64.8
2008,Developing,88,7.31,241.5533381,59.3,6.87,95,0.1,1781.3668,16661942,0.804,15.2,79.6
2010,Developing,137,14.97,1802.017593,57.6,6.25,94,0.1,14638.6482,1331475,0.833,16.2,75.6
2011,Developing,193,2.16,457.7745845,47.9,6.28,88,0.4,3187.845296,14948919,0.609,10.5,71.1
2011,Developing,127,8.14,198.94876,52.8,9.38,94,0.1,3725.63221,3875,0.742,13.3,73.9
2010,Developing,37,6.15,100.8987451,26,5.28,84,5.5,1182.869227,1997495,0.48,9.7,55.3
2009,Developing,2,2.5,0.844186331,15.4,4.38,74,0.2,19.317765,121427132,0.563,10.5,66
2012,Developing,271,4.75,78.76987363,17.7,5.33,9,0.8,673.8227,16571216,0.384,7.2,58.6
2013,Developing,284,0.01,5.140668848,22.2,5.49,63,1,54.169324,11536615,0.406,8.5,58.8
2012,Developing,251,0.01,9.80407467,24.1,4.86,8,1.3,837.9551,972916,0.458,10,59.3
2007,Developing,241,2.58,0.358651421,42,2.16,98,0.1,26.371428,487137,0,10.4,64.1
2007,Developing,12,8.65,106.164686,49.9,8.17,98,0.1,2492.12878,482,0.722,12.5,74.4
2005,Developing,223,4.22,105.7306982,2.1,3.91,89,0.1,1194.697155,86274237,0.642,11.6,67
2010,Developing,156,3.1,302.1057507,46.8,8.45,97,0.4,1932.85829,8194778,0.606,11.5,73.6
2014,Developing,99,1.32,140.3771361,65.4,6.39,81,0.1,8161.4614,563279,0.763,13.3,74.8
2004,Developing,615,1.11,58.13583343,15.5,7.82,89,23.4,274.2256294,1267638,0.366,10,45.1
2010,Developing,374,8.9,133.1230872,22.2,3.47,54,4.8,2327.3267,158578261,0.492,9.5,52
2007,Developed,66,10.56,872.5986092,62.5,8.53,92,0.1,4991.98289,28276,0.918,19,81.3
2000,Developing,142,2.9,32.75626853,47.1,6.25,93,0.1,622.7427477,369588,0.639,11.2,72
2013,Developing,117,5.82,482.8039445,62.9,8.68,94,0.1,16881.2568,3485,0.788,15.5,76.8
2006,Developing,141,4.01,244.5352767,49.2,4.58,87,0.1,2158.299,29585,0.692,11.2,72.9
2008,Developing,592,2.75,91.85432774,28.8,8.85,88,27.3,934.428563,199993,0.447,10.7,47.8
2014,Developing,268,0.01,8.386339501,18.8,4.96,91,0.6,75.1464113,17585977,0.398,7.7,59.3
2011,Developing,67,1.92,1079.893546,23.1,8.11,96,0.1,6497.55443,377,0.663,11.8,77.3
2006,Developing,1,4.82,38.25414065,51,8.28,87,0.1,344.321698,3779468,0.697,12.7,75.7
2008,Developing,145,1.1,569.6255035,71.5,5.13,86,0.1,3392.64743,135,0.698,14.5,72.6
2013,Developing,219,0.01,19.79057439,22.7,3.83,97,0.6,235.882889,764961,0.589,12.6,69.1
2003,Developing,295,0.01,11.08905273,13.4,8.82,41,0.1,198.7285436,2364851,0.373,6.5,56.7
2007,Developing,165,6.2,520.7639087,24.6,3.56,98,0.4,3972.26475,66195615,0.687,12.3,73.3
2007,Developing,161,3.24,582.5143743,29.1,4.24,97,0.1,6574.654338,123963,0.72,13.5,72.9
2014,Developing,223,0.01,3.304039899,18.9,5.82,68,0.5,43.646498,19148219,0.345,5.3,61.4
2010,Developing,89,7.93,177.4925143,6.6,6.97,92,0.1,1286.17764,16993354,0.815,15.2,79.1
2014,Developing,147,0.01,561.7684701,49.4,9.81,87,0.2,4712.822736,6552584,0.688,12.3,73.9
2011,Developing,172,0.27,112.1229028,16.9,6.73,92,0.2,692.1166842,27327147,0.529,12,68.4
2004,Developing,165,6.2,20.60083027,42,5.78,92,0.2,148.527976,57374,0.639,12.1,71.9
2013,Developed,71,10.94,895.8779503,61.4,11.16,95,0.1,4653.91143,864565,0.919,16.9,86
2009,Developing,231,8.71,324.5491348,58,7.8,71,0.3,2545.48341,46533,0.734,14.9,69.2
2008,Developing,146,4.45,978.07041,52.8,6.62,92,0.1,5433.7245,4491544,0.683,12.2,73.5
2010,Developing,26,7.92,63.78723633,18.3,7.91,97,2.3,563.491487,1246842,0.454,10,62.8
2008,Developing,339,1.71,60.5153506,17.9,3.9,88,6.4,916.8992515,39148416,0.506,10.4,57.9
2008,Developed,66,10.76,8547.292357,62.9,8.78,92,0.1,49664.6854,212492,0.921,19.1,81.3
2001,Developing,316,0.01,10.5747282,12.6,7.8,33,0.1,117.49698,2966463,0.34,5.9,55.3
2011,Developing,26,0.53,30.46703899,75.7,1.42,99,0.1,1692.613277,14656,0.585,11.9,65.5
2009,Developing,174,0.3,35.71613793,35.9,5.93,93,0.2,666.3458569,7472819,0.601,11.1,66.7
2011,Developing,247,8.34,9.074569426,18.9,7.71,97,1.3,617.317648,151671,0.464,10.2,63.8
2001,Developing,123,6.48,421.4804282,55.7,7.46,94,0.1,6281.37747,332713,0.742,14.2,75.2
2013,Developing,148,5.03,573.4346982,48.6,1.49,86,0.2,4479.95858,646574,0.679,12.3,73.8
2013,Developing,198,8.44,52.42529588,6.1,7.67,76,0.2,429.71554,454896,0.744,15.2,71
2009,Developed,79,11.22,7641.270645,59.5,11.4,96,0.1,41732.7725,819237,0.906,16.7,80
2004,Developing,218,1.63,43.99452464,54.2,3.61,95,0.1,3332.918533,818354,0.691,13.4,68.1
2009,Developing,378,9.63,87.04534954,15.9,8.43,79,8.1,647.17732,32771895,0.464,10.8,57.5
2009,Developing,189,0.08,125.7980678,22.1,2.83,78,0.3,2254.44566,23934478,0.645,11.7,67.9
2009,Developing,88,11.8,6415.35735,59.6,11.28,98,0.1,41631.13141,647744,0.879,16,81.1
2014,Developing,62,0.01,2051.748615,26.2,13.73,99,0.1,7716.2415,41,0.693,12.7,78.2
2005,Developing,29,0.55,60.21211141,18,6.34,77,1.9,487.942556,12798763,0.338,5.8,53.6
2003,Developing,13,2.96,122.9365349,22.6,4.82,86,0.1,1288.642924,12884,0.61,9.9,73.1
2013,Developing,12,0.01,325.6298627,29.7,4.29,93,0.2,3558.796314,5216,0.643,13.6,72.8
2008,Developed,87,10.47,7191.051507,61.3,9.6,99,0.1,48424.58927,179973,0.874,15.8,79.5
2003,Developing,134,3.03,7.341493148,48.1,5.56,94,0.1,93.1661567,31786,0.657,10.8,72.7
2010,Developed,62,7.91,278.0687051,67.6,8.3,76,0.1,2187.79469,41458,0.819,14.6,83
2007,Developing,219,0.02,7.35400072,25.5,3.54,75,1.3,113.3128,3312665,0.475,7.4,61.2
2013,Developing,367,8.3,194.2032879,24.1,3.7,46,3.9,2996.96432,17182933,0.514,9.8,53.2
2013,Developing,286,0.01,1.117811275,36.8,5.84,95,2.8,77.625783,212857,0.693,12.6,64.2
2005,Developed,162,7.68,615.4030781,53.9,5.47,97,0.1,4676.315183,21319685,0.745,13.4,71.9
2004,Developing,13,2.1,618.3614858,6.2,8.91,75,0.1,5424.22356,3863267,0,14.2,73.7
2005,Developing,213,0.6,111.7392134,72.1,1.6,79,0.1,1214.556667,92325,0,12.2,64.9
2014,Developing,17,1.45,181.9083783,65.3,5.41,96,0.1,12127.22522,773628,0.759,14.5,75.5
2008,Developing,1,5.61,36.62206845,52.6,5.87,99,0.1,437.539647,2947314,0.713,12,75.3
2005,Developing,25,4.47,418.9206608,51.1,6.78,83,0.6,3595.8855,498946,0.672,11.3,68.9
2012,Developing,93,1.53,151.1526829,64.4,6.99,81,0.1,8787.94668,491644,0.763,13.3,75
2009,Developing,259,1.16,71.01399249,22.5,4.46,79,1.6,793.45243,894476,0.448,9.3,58.4
2000,Developing,84,8.48,122.1823517,57.4,7.6,89,0.1,1242.95373,18588,0.794,13.9,78.2
2000,Developed,175,10.16,152.6368899,51.4,4.33,99,0.1,1668.162731,22442971,0.703,11.5,77
2009,Developing,157,6.05,587.8828228,52.6,4.41,82,1.2,4952.67753,9767758,0.695,12.9,73.6
2005,Developing,274,2.75,98.68367951,42.1,5.9,99,0.1,998.8226671,2526446,0.637,11.8,64.5
2000,Developing,176,6.58,44.79247812,43.1,5.9,78,2.5,282.4242,8562622,0.651,12.2,72
2008,Developing,255,0.12,93.36788979,2.6,5.13,81,0.1,795.97519,657229,0.461,10.2,61
2005,Developing,66,1.04,5.670640102,15.9,8.2,93,22.4,28.3673842,1339711,0.371,9.7,46
2014,Developing,23,8.06,5.663849328,6.7,7.1,23,0.2,314.658296,45271947,0.746,15.2,78
2001,Developing,253,4.31,8.897421459,55.1,5.66,99,0.8,78.738243,48683865,0.673,13.2,67.7
2006,Developing,117,6.58,1712.225506,58.9,11.17,95,0.1,5877.87678,333143,0.756,15.2,76.2
2013,Developing,112,0.53,544.4507432,57.2,7.12,95,0.1,5471.866766,38338562,0.737,14.4,75.3
2001,Developing,171,2.74,15.36175284,39.6,6.88,96,1.6,113.4546,669361,0.557,9.9,71.3
2003,Developing,22,1.76,253.8196705,53.2,3.35,94,0.1,2835.973972,816628,0.689,13.3,68
2002,Developing,437,1.66,32.73674134,15.1,4.54,84,15.7,395.8493511,332149,0.451,8.5,52.1
2002,Developed,91,12.25,437.1059663,56.1,1.4,93,0.1,2525.16445,82488495,0.867,16.3,78.4
2007,Developing,375,6.35,184.8213446,18.8,3.38,73,2.6,2878.837144,2997687,0.454,7.7,48.2
2009,Developing,126,8.33,1398.042623,59.2,7.63,94,0.1,8161.36966,479947,0.794,16.5,75.6
2014,Developing,329,0.01,54.37396957,26.7,1.4,5,0.9,458.4651734,439737,0.426,9.9,58.1
2001,Developing,219,0.6,59.97185848,68.8,9,85,0.1,734.9492461,85858,0,10.4,64.3
2009,Developing,148,0.2,185.6366983,55.2,4.65,78,0.1,3735.144836,29894652,0.643,10.3,74
2010,Developing,154,7.52,1111.191325,52,8.27,99,0.1,11224.1548,196796269,0.716,13.8,73.8
2010,Developing,212,0.28,1.020071763,21.7,4.62,89,0.4,11.631377,12916229,0.449,7.7,64.3
2003,Developing,22,6.32,293.0196601,46.1,5.53,79,2.3,2372.628827,896776,0.665,12.4,73
2001,Developing,158,4.13,14.5887403,44.3,3.86,89,0.3,193.741571,12852755,0.67,12.4,73.4
2012,Developing,3,0.01,12.83447357,36.2,6.27,95,4.4,729.231453,289315,0.687,12.5,63.4
2001,Developed,179,9.78,180.1095132,51.9,4.36,99,0.1,1839.72945,2213197,0.708,11.7,78
2014,Developing,191,0.01,225.7307751,3.1,8.35,95,0.2,1821.878734,191266,0.562,11.1,67.3
2007,Developing,329,1.23,11.42385961,14.7,3.29,91,1.3,317.3294336,4153332,0.405,5.3,62
2007,Developing,8,9.67,3632.243121,61.8,9.41,99,0.1,28827.32636,1148473,0.855,16.4,79.4
2014,Developed,12,10.71,243.808475,61.1,6.35,98,0.1,14341.675,3811735,0.85,16.4,77.3
2007,Developing,9,5.58,32.24655228,51.7,6.1,98,0.1,363.13685,29717,0.703,11.6,75.9
2013,Developing,84,4.76,430.8769785,56.5,5.66,99,0.1,4414.72314,289592,0.759,14.2,77.2
2002,Developed,157,10.2,33.26778134,58.1,7.41,93,0.1,287.534843,7837161,0.723,12.9,71.8
2010,Developing,246,0.15,47.30421873,21.6,5.82,74,0.1,769.1742883,689692,0.476,10.5,61.8
2003,Developing,78,7.7,4687.845565,6,9.54,91,0.1,28172.14883,31676,0.877,15.8,79.7
2013,Developed,97,12.39,1899.107385,62.5,7.83,96,0.1,13574.749,4255689,0.817,14.9,77.7
2007,Developing,487,2.08,10.85148218,19.2,4.37,8,13.6,114.587985,12725974,0.492,11.1,52.6
2012,Developing,181,2.48,591.7757569,54.1,6.7,92,0.3,3827.786267,6221246,0.67,13.2,73
2009,Developing,142,3.33,235.7067417,49.7,5.16,9,0.6,4293.383274,28482,0.721,12.7,74.7
2006,Developed,65,8.44,473.1915451,58.8,8.82,96,0.1,3341.7482,58143979,0.856,16,81.2
2002,Developing,221,4.42,0.09987219,18.7,2.79,79,0.1,1.68135,813526,0.625,11.4,66.8
2001,Developed,228,6.68,332.2751709,55.7,6.17,97,0.1,3572.8513,233717,0.728,14.2,69.9
2007,Developing,51,5.55,43.3664999,28.5,7.5,87,40.7,347.48798,1138434,0.508,10.5,50
2001,Developed,92,12.4,3582.848308,5.6,1.12,84,0.1,24489.73553,842293,0.837,15.5,78.6
2008,Developing,199,2.24,53.10009046,15.3,5.55,91,0.7,745.7877873,138859,0.511,10.5,65.6
2004,Developing,169,0.85,334.1673373,44.1,4.12,69,0.1,1787.94723,24143,0,10.7,69.6
2006,Developing,7,4.57,34.26216876,27.9,5.12,7,26.8,414.796232,13124267,0.408,9.5,45.4
2013,Developing,281,0.01,25.70881695,47.2,4.78,79,0.8,229.95364,7592865,0.506,10,62.4
2000,Developing,129,3.28,47.81704183,46,6.94,8,0.1,691.997711,44183,0,11.4,71.8
2005,Developed,67,6.41,2247.035692,65,8.83,92,0.1,15835.34667,43834,0.805,14.8,79
2007,Developing,67,3.88,29.81456607,28.2,4.47,73,23.7,396.9982166,1332999,0.414,9.6,46.6
2007,Developed,65,7.45,2578.888314,66.1,8.36,74,0.1,19375.5696,46724,0.808,14.4,79.6
2008,Developing,344,1.33,69.35924758,2.4,5.73,81,4.8,513.391914,6161796,0.441,10.1,56.2
2005,Developing,369,5.54,1.747440948,14.1,9.84,87,4.3,15.57434,7423289,0.286,5.6,53.4
2010,Developing,122,6.94,1199.319976,54.2,8.5,94,0.1,7937.259931,3643222,0.756,12.8,76.5
2012,Developing,367,0.62,57.8242709,17.9,3,4,3.6,973.472574,1275135,0.381,7.3,51.8
2009,Developing,156,15.04,1717.088711,57.1,6.93,95,0.1,14726.31828,1334515,0.836,16.1,74.9
2014,Developing,179,0.09,200.0684443,26.5,2.85,78,0.3,3491.595887,255131116,0.682,12.9,68.9
2009,Developing,317,1.86,7.146851404,18.4,4.17,88,5,92.816252,423724,0.514,10.7,59.1
2002,Developing,327,0.61,110.9803062,38.9,7.69,61,1.4,511.665773,5862316,0.428,6.9,59.3
2013,Developing,189,1.93,582.1469583,49.3,6.3,85,0.4,3452.828934,15596214,0.611,10.7,71.4
2007,Developing,12,1.24,469.6282925,53.9,5.64,98,0.1,3778.184171,129887,0.695,14.3,74.6
2009,Developed,192,12.4,1446.529217,59.7,7.53,98,0.1,11837.3913,3162916,0.825,16.6,72.2
2007,Developing,211,0.68,188.7108773,73.4,13.66,94,0.1,1357.632211,96311,0.574,11.8,65
2011,Developing,133,4.83,759.5380695,52.9,4.93,91,0.2,5771.565878,29759989,0.721,13.4,74.5
2011,Developing,124,5.3,1117.196097,6.8,6.4,97,0.1,9834.472689,119917,0.745,12.6,76.1
2004,Developing,34,1.46,53.23775977,21.8,3.96,8,3.2,423.1936389,2986536,0.491,7.7,58.3
2014,Developing,234,0.01,89.95805845,17.2,4.88,77,0.6,571.1622759,97366774,0.435,8.4,64.2
2010,Developing,171,0.32,43.34099958,36.6,6.4,93,0.2,738.3475227,764163,0.603,11.1,67.3
2011,Developed,63,8.96,1047.370244,59.9,1.53,97,0.1,5354.6536,1669374,0.911,17.2,81.1
2004,Developed,69,6.53,203.3157499,64.5,8.46,89,0.1,1519.5497,41268,0.797,14.2,78.7
2014,Developing,362,0.01,11.3020668,18.7,3.62,37,2.9,125.998515,13569438,0.39,7.3,52.6
2005,Developing,127,0.55,27.44252286,57.8,8.88,95,0.1,223.83787,5714111,0.73,13.8,72.4
2006,Developing,22,0.28,4.632776304,17,1.78,82,0.6,296.97284,48846474,0.474,8,64.2
2004,Developing,154,0.62,8.59680496,44.2,7.92,77,0.1,145.2163,8365,0.668,11,68.4
2008,Developing,298,8.75,11.05422474,32.4,2.54,82,8.9,194.2746,1536411,0.651,12.4,61.6
2006,Developing,199,4.52,72.800168,51.8,6.22,84,0.6,527.92,5437,0.678,11.5,69.3
2004,Developing,168,4.16,509.3899943,27.5,4.29,98,0.1,5229.876738,12213,0.696,12.8,71.9
2011,Developing,263,1.64,225.2219474,26.1,4.81,91,1.3,1574.978653,25121796,0.554,10.9,61.2
2009,Developing,369,7.01,212.9229325,19.8,4.37,6,2.5,3347.84485,22549547,0.48,8.5,49.1
2009,Developing,368,2.3,143.8698873,2.2,4.73,94,9.1,1139.11233,13456417,0.518,11.6,57.4
2008,Developing,132,0.47,438.4519214,33.4,3.47,97,0.1,8513.629541,2711169,0.747,12.5,73.8
2002,Developed,22,11,561.9168642,57.5,6.4,95,0.1,4146.987928,344367,0.77,15.3,71.4
2002,Developing,24,2.97,29.68529375,47,7.9,81,0.4,248.4125,59433,0.621,11.8,73
2010,Developing,117,0.51,715.9709092,61.7,8.42,98,0.1,3679.19275,718239,0.739,13.2,73.4
2004,Developing,134,3.74,7.132564768,48.1,8.53,78,0.1,127.367228,4245,0.694,12,72.3
2011,Developing,141,0.85,457.9731742,49.9,3.85,65,0.1,3275.91684,241871,0.591,10.8,71.2
2013,Developing,183,0.01,8.758214538,18.2,5.93,83,0.2,128.419568,1522692,0.546,10.8,67.8
2005,Developing,129,1.29,832.9552058,57.6,5.45,9,0.1,7384.354661,679346,0.681,11.9,72.4
2007,Developing,295,0.71,85.7175381,42.7,4.4,71,1.4,956.668952,6627922,0.461,8.6,61.1
2009,Developing,147,1.08,4.783805563,72.1,4.67,84,0.1,37.846563,1364,0.703,14.5,72.5
2008,Developing,127,6.74,956.8229765,52.7,6.75,86,0.1,6973.9284,3516268,0.75,12.8,76.5
2005,Developed,66,8.65,4506.255963,58.2,8.71,95,0.1,31959.26215,57969484,0.851,15.8,88
2014,Developing,268,0.01,662.802194,37.3,5.41,95,2.3,7497.762376,2168573,0.697,12.6,65.1
2012,Developing,339,0.01,92.88697859,17.2,7.58,78,4.6,647.74741,3636796,0.477,10,60
2012,Developing,195,0.01,431.4854874,6.2,4.16,99,0.1,4546.73854,873596,0.714,14.9,69.4
2014,Developing,117,6.03,463.6397821,63.4,8.58,95,0.1,16737.89827,3419546,0.791,15.5,76.8
2013,Developing,366,0.64,76.52382535,18.2,3.42,39,3.1,986.13177,13133589,0.387,7.3,52.2
2011,Developing,76,8.02,3192.887363,64.3,9.77,99,0.1,25916.29353,1114899,0.86,16.7,85
2006,Developing,496,8.5,732.1255305,44.3,7.57,82,28.1,5631.73485,4823384.48,0.609,12.9,54
2012,Developing,186,0.01,6.914723983,17.6,6.24,86,0.3,95.244132,14776866,0.54,10.7,67.4
